user_id,cust_name,product_id,gender,age_group,age,marital_status,state,zone,occupation,product_category,orders,amount,total_sales
1000732,Kartik,P00110942,F,26-35,35,Married,Andhra Pradesh,Southern,Govt,Auto,3,23934,71802
1502985,Bindu,P00118542,F,26-35,52.5,Married,Uttar Pradesh,Central,Automobile,Auto,4,35886,143544
1000588,Joni,P00057942,M,26-35,28,Married,Gujarat,Western,Food Processing,Auto,2,23877,47754
1500882,Joni,P00057942,M,26-35,42,Married,Himachal Pradesh,Northern,Food Processing,Auto,1,35815,35815
1001132,Balk,P00018042,F,18-25,25,Married,Uttar Pradesh,Central,Lawyer,Auto,4,23841,95364
1003224,Kushal,P00205642,M,26-35,35,Single,Uttar Pradesh,Central,Govt,Auto,2,23809,47618
1003650,Ginny,P00031142,F,26-35,26,Married,Andhra Pradesh,Southern,Media,Auto,4,23799,95196
1003829,Harshita,P00200842,M,26-35,34,Single,Delhi,Central,Banking,Auto,1,23770,23770
1000214,Kargatis,P00119142,F,18-25,20,Single,Andhra Pradesh,Southern,Retail,Auto,2,23752,47504
1004035,Elijah,P00080342,F,18-25,20,Married,Andhra Pradesh,Southern,IT Sector,Auto,2,23730,47460
1001680,Vasudev,P00324942,M,26-35,26,Married,Andhra Pradesh,Southern,Automobile,Auto,4,23718,94872
1000813,Lauren,P00289942,F,18-25,24,Single,Andhra Pradesh,Southern,Govt,Auto,2,23664,47328
1001193,Mick,P00004842,F,26-35,29,Single,Andhra Pradesh,Southern,Aviation,Auto,1,23619,23619
1001883,Praneet,P00029842,M,51-55,54,Married,Uttar Pradesh,Central,Hospitality,Auto,1,23568,23568
1001883,Praneet,P00029842,M,51-55,54,Married,Uttar Pradesh,Central,Hospitality,Auto,1,23568,23568
1000113,Ellis,P00180642,F,18-25,19,Married,Andhra Pradesh,Southern,Govt,Auto,4,23546,94184
1500624,Hrisheekesh,P00181842,F,46-50,69,Married,Uttar Pradesh,Central,Banking,Auto,3,35287,105861
1005256,Grant,P00101742,F,26-35,30,Single,Andhra Pradesh,Southern,IT Sector,Auto,1,23518,23518
1001505,Gilcrest,P00271842,F,51-55,53,Single,Uttar Pradesh,Central,Automobile,Auto,2,23515,47030
1000900,Skaria,P00317842,M,55+,83,Single,Karnataka,Southern,Automobile,Auto,3,23513,70539
1005908,Eric,P00282642,F,26-35,33,Single,Andhra Pradesh,Southern,IT Sector,Auto,3,23462,70386
1001101,Gibson,P00234742,F,36-45,40,Single,Uttar Pradesh,Central,Banking,Auto,3,23456,70368
1004736,Mahima,P00058042,F,18-25,25,Married,Andhra Pradesh,Southern,Banking,Auto,4,23451,93804
1506055,Etezadi,P00190542,M,51-55,81,Married,Andhra Pradesh,Southern,Govt,Hand & Power Tools,3,35151,105453
1002340,James,P00119642,F,36-45,39,Married,Andhra Pradesh,Southern,Aviation,Auto,3,23389,70167
1005664,Dean,P00111642,F,18-25,20,Single,Andhra Pradesh,Southern,Aviation,Auto,2,23365,46730
1002523,Aman,P00293342,F,26-35,32,Married,Andhra Pradesh,Southern,Food Processing,Auto,3,23326,69978
1002503,Mousam,P00220042,F,36-45,36,Single,Andhra Pradesh,Southern,Automobile,Auto,2,23314,46628
1004505,Daniels,P00080042,F,51-55,55,Married,Andhra Pradesh,Southern,Healthcare,Auto,4,23302,93208
1508473,Sweta,P00238542,M,18-25,30,Married,Delhi,Central,Media,Auto,1,34921,34921
1506762,Phonely,P00048742,F,26-35,48,Single,Andhra Pradesh,Southern,Aviation,Auto,1,34905,34905
1002520,Mike,P00310342,M,55+,72,Married,Himachal Pradesh,Northern,Media,Auto,4,23267,93068
1000687,Neola,P00156442,M,26-35,35,Single,Kerala,Southern,Aviation,Auto,1,23247,23247
1001182,Zypern,P00122442,M,0-17,16,Single,Andhra Pradesh,Southern,Food Processing,Auto,4,23239,92956
1005383,Ellison,P0096942,F,36-45,40,Single,Andhra Pradesh,Southern,Aviation,Auto,2,23201,46402
1004303,Jane,P00201442,F,26-35,35,Married,Andhra Pradesh,Southern,Aviation,Auto,2,23185,46370
1005493,Stewart,P00036242,M,36-45,45,Married,Andhra Pradesh,Southern,Agriculture,Hand & Power Tools,3,23160,69480
1000728,Breyer,P00113942,F,26-35,28,Single,Andhra Pradesh,Southern,Banking,Auto,1,23154,23154
1001726,Abhijit,P00105042,F,26-35,32,Single,Andhra Pradesh,Southern,Retail,Auto,4,23066,92264
1003745,Shivani,P00220042,M,26-35,29,Single,Haryana,Northern,IT Sector,Stationery,2,21563,43126
1001884,Eugene,P00339042,F,46-50,47,Single,Delhi,Central,Textile,Stationery,1,21547,21547
1001804,Ishit,P00000642,F,26-35,35,Single,Delhi,Central,Lawyer,Stationery,1,21533,21533
1005359,Schwarz,P00302742,F,18-25,22,Married,Delhi,Central,Media,Stationery,1,21503,21503
1000151,Sujay,P00150342,M,26-35,34,Married,Karnataka,Southern,IT Sector,Stationery,2,21495,42990
1001389,Smriti,P00261542,F,26-35,33,Married,Delhi,Central,Agriculture,Stationery,3,21463,64389
1002665,Champaklata,P00261842,F,36-45,36,Single,Delhi,Central,IT Sector,Stationery,4,21427,85708
1002496,Patil,P00114042,F,51-55,52,Single,Delhi,Central,IT Sector,Stationery,4,21423,85692
1001442,Atharv,P00145042,M,18-25,18,Married,Delhi,Central,Construction,Stationery,2,21401,42802
1000379,Thais,P00121642,M,36-45,39,Single,Maharashtra,Western,Healthcare,Stationery,3,21397,64191
1003916,Surabhi,P00003242,M,26-35,34,Married,Delhi,Central,Agriculture,Stationery,4,21388,85552
1502530,Bruce,P00265242,F,26-35,49.5,Single,Maharashtra,Western,Govt,Stationery,6,31987,191922
1000423,Saurabh,P00046742,M,18-25,21,Single,Delhi,Central,Automobile,Stationery,2,21320,42640
1002395,Vaibhavi,P00220342,F,36-45,38,Married,Delhi,Central,Aviation,Stationery,2,21317,42634
1507092,Larry,P00037042,F,26-35,42,Single,Delhi,Central,IT Sector,Stationery,6,31939,191634
1507581,Parhena,P0096542,F,36-45,55.5,Single,Delhi,Central,Hospitality,Stationery,1,31899,31899
1506733,Pete,P00216742,M,18-25,30,Single,Delhi,Central,Construction,Stationery,1,31888,31888
1001865,Cyra,P00213742,M,18-25,23,Married,Kerala,Southern,Media,Stationery,2,21246,42492
1504533,Rozendal,P00130742,F,26-35,51,Single,Delhi,Central,Banking,Stationery,6,31827,190962
1003751,Victor,P00129542,M,36-45,38,Married,Karnataka,Southern,Media,Stationery,1,21178,21178
1000179,Debra,P00261642,F,26-35,30,Single,Delhi,Central,Aviation,Stationery,4,21152,84608
1000438,Bhosale,P00182542,F,18-25,25,Single,Madhya Pradesh,Central,IT Sector,Tupperware,2,21079,42158
1003618,Keshav,P00248942,M,18-25,19,Married,Maharashtra,Western,Media,Tupperware,1,21058,21058
1002485,Kaydos,P00302342,F,36-45,38,Married,Gujarat,Western,Media,Tupperware,3,21013,63039
1001495,Fjeld,P00064042,F,18-25,21,Married,Delhi,Central,IT Sector,Stationery,4,21009,84036
1004607,Turumella,P00173342,M,26-35,35,Single,Delhi,Central,Govt,Stationery,4,20981,83924
1000461,Connell,P00142942,M,51-55,52,Married,Himachal Pradesh,Northern,Healthcare,Stationery,2,20965,41930
1000154,Shami,P00306042,F,51-55,53,Married,Karnataka,Southern,Textile,Footwear & Shoes,4,20965,83860
1000749,Flanagan,P00114342,F,36-45,37,Married,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,2,20963,41926
1006040,Pond,P00271242,F,26-35,28,Married,Delhi,Central,IT Sector,Footwear & Shoes,1,20960,20960
1001284,O'Brian,P00157142,M,46-50,50,Single,Karnataka,Southern,Banking,Footwear & Shoes,3,20960,62880
1004269,Namrata,P00345242,F,36-45,40,Single,Delhi,Central,Lawyer,Footwear & Shoes,1,20959,20959
1001496,Haushalter,P00067942,F,26-35,35,Married,Madhya Pradesh,Central,Chemical,Footwear & Shoes,1,20955,20955
1003007,Maurice,P00191942,F,36-45,45,Single,Delhi,Central,Banking,Stationery,4,20951,83804
1500459,Patrick,P00303242,F,18-25,27,Single,Maharashtra,Western,Aviation,Tupperware,4,31423,125692
1000855,Sung,P00240042,M,18-25,22,Single,Delhi,Central,Automobile,Footwear & Shoes,3,20948,62844
1501774,Mahima,P00084842,F,36-45,64.5,Married,Delhi,Central,Aviation,Footwear & Shoes,6,31417,188502
1005954,Charlotte,P00156242,F,46-50,48,Married,Karnataka,Southern,Automobile,Footwear & Shoes,2,20944,41888
1005627,Anubhaw,P00123142,M,26-35,28,Single,Delhi,Central,IT Sector,Stationery,1,20943,20943
1503247,Black,P00260442,F,26-35,46.5,Married,Delhi,Central,IT Sector,Footwear & Shoes,1,31407,31407
1001891,Akin,P00192542,F,46-50,46,Single,Uttar Pradesh,Central,Chemical,Footwear & Shoes,1,20929,20929
1001019,Neil,P00259142,F,36-45,43,Married,Delhi,Central,Govt,Footwear & Shoes,2,20928,41856
1002306,Lisha,P00084242,M,18-25,21,Married,Jharkhand,Eastern,Textile,Footwear & Shoes,3,20925,62775
1004957,Inderpreet,P00163442,F,26-35,34,Married,Delhi,Central,Healthcare,Footwear & Shoes,1,20914,20914
1002124,Linda,P00369042,F,26-35,29,Single,Karnataka,Southern,Retail,Footwear & Shoes,3,20912,62736
1004335,Aryan,P00075542,F,36-45,38,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20912,83648
1000280,Kajal,P00216042,F,51-55,55,Single,Delhi,Central,Hospitality,Footwear & Shoes,2,20908,41816
1004161,Murray,P00345642,F,46-50,46,Single,Karnataka,Southern,Retail,Footwear & Shoes,4,20906,83624
1004285,Bhishm,P00315842,M,36-45,38,Single,Uttar Pradesh,Central,Food Processing,Footwear & Shoes,3,20900,62700
1000445,Sukruta,P00114042,F,46-50,47,Single,Delhi,Central,Retail,Footwear & Shoes,1,20896,20896
1003265,Arti,P00184942,F,26-35,35,Single,Uttar Pradesh,Central,Food Processing,Stationery,1,20883,20883
1003396,Akshay,P00178242,F,26-35,31,Married,Delhi,Central,Textile,Footwear & Shoes,4,20875,83500
1002059,Mathew,P00114142,F,36-45,41,Single,Karnataka,Southern,IT Sector,Footwear & Shoes,1,20874,20874
1001335,Kushal,P00108942,F,36-45,42,Single,Delhi,Central,IT Sector,Footwear & Shoes,1,20873,20873
1004838,Luxemburg,P00062842,F,46-50,49,Single,Delhi,Central,Lawyer,Footwear & Shoes,3,20870,62610
1000549,Sharda,P00113542,F,26-35,31,Single,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20865,41730
1001954,Steele,P00294542,M,26-35,31,Married,Jharkhand,Eastern,IT Sector,Footwear & Shoes,3,20863,62589
1001912,Hazel,P00087442,F,26-35,27,Single,Bihar,Eastern,Automobile,Tupperware,3,20860,62580
1505877,Shariari,P00334242,F,26-35,48,Single,Karnataka,Southern,Retail,Footwear & Shoes,4,31282,125128
1001896,Brittain,P00117142,M,55+,66,Single,Uttar Pradesh,Central,Govt,Footwear & Shoes,2,20853,41706
1002445,Shiva,P00184042,F,26-35,28,Single,Delhi,Central,Aviation,Stationery,4,20852,83408
